Type,FMQ,P,Ti,Y,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Ce_div_Ce_asterisk,Eu_div_Eu_asterisk,Th_div_U,U_div_Yb
2,-0.05,248.4,6.15,1938.95,1.2,0.03,10.31,0.16,4.34,9.16,2.26,53.1,16.8,180,62.4,247,48.8,411,66.1,8540,0.69,,76.5,131.8,164.04,0.1,0.58,0.32
2,-0.62,143.8,6.02,671.95,0.64,0.36,10.07,0.78,6.38,4.98,2.43,16.45,4.93,57,22,101.3,24.29,255.6,53.5,9430,0.54,,124.4,247.2,19.14,0.27,0.5,0.97
2,-0.99,186.1,3.59,671.95,0.81,0.26,6.07,0.27,2.13,2.28,0.91,12.2,4.29,51.4,21.34,102.3,25.33,271.8,57.9,9010,0.45,,96.1,231.3,23.22,0.17,0.42,0.85
2,-1.35,172,3.9,479.95,0.54,0.04,3.84,0.06,0.93,1.49,0.55,8.39,3.04,39.3,15.25,74.5,18.26,194.3,40.39,9430,0.48,,42.1,128,83.62,0.16,0.33,0.66
2,0.4,180,6.2,1113.95,3.61,0.19,22.82,0.12,1.82,4.3,1.22,29.6,9.81,110.5,38.32,166.4,34.02,296.1,52.98,9760,1.12,,173.8,395,154.94,0.11,0.44,1.33
2,1.14,114.5,7.26,766.95,1.67,0.61,27.2,0.78,9.3,5.8,4.42,23.3,6.61,70.1,24.7,110,24.1,228,41.1,10100,0.49,,79.1,199.2,39.43,0.38,0.4,0.87
2,-0.63,158,8.35,640.95,1.1,0.15,10.56,0.17,1.52,2.55,0.77,13.28,4.65,54.28,20.78,96.2,22.18,208.1,39.48,9770,0.41,,58.7,200.1,65.15,0.13,0.29,0.96
2,0.15,162,2.5,597,1.45,0.06,9.36,0.06,1.03,2.17,0.68,14.1,4.54,54.7,19.9,91.2,19.8,178.9,33,9580,0.57,,67.7,213,156.35,0.12,0.32,1.19
2,0.81,120,5.1,901,2.63,0.93,22.1,0.66,3.57,3.86,1.24,21.2,6.99,80.1,31.7,143.9,33,309,52.2,10290,0.62,,98.8,274,28.21,0.14,0.36,0.89
2,0.88,99,5.7,930,4.22,0.51,22.9,0.31,2.24,3.58,0.96,20.2,6.53,77.4,31,136.5,31.4,286,51.8,9900,1.03,,89.2,240.4,57.59,0.11,0.37,0.84
2,0.54,194,6,1866.95,4.16,0.46,23.3,0.89,8.37,10.28,2.12,43.6,13.86,156.4,59.6,252.4,53.3,482,87.1,8450,1.68,,223.2,347,36.42,0.1,0.64,0.72
2,0.1,196.4,6.13,891.95,3.84,0.33,15.37,0.25,2.68,3.15,0.8,17,5.86,72.7,30.04,141.2,31.86,299.9,58.9,8330,2.04,,142.6,245.4,53.33,0.11,0.58,0.82
2,0.6,114.1,6.26,507.95,1.18,0.14,16.71,0.13,1.38,2.45,0.67,13.54,4.04,45.3,17.22,76.5,16.68,159.3,30.71,9230,0.39,,76.5,163.2,128.12,0.12,0.47,1.02
2,0.55,183,7.16,542.95,1.04,0.35,17.6,0.24,1.74,2.96,0.76,13.24,4.32,45.6,17.35,80.4,17.84,169.9,31.4,10050,0.37,,62.7,165,61.63,0.12,0.38,0.97
2,1.59,129,3.74,780,1.7,0.63,26,0.87,6.08,4.61,1.34,20.9,6.37,72.1,26.2,118.7,25.6,231.7,41.1,9810,0.62,,84.5,209,35.12,0.14,0.4,0.9
2,0.99,154,7.5,586,1.3,0.97,23.6,0.77,4.9,4.7,1.36,17.4,5.09,55.6,20.4,89.8,18.61,174.4,32.2,9750,0.4,,70.7,171.2,27.31,0.15,0.41,0.98
2,1.5,131,3.09,695.95,1.39,0.09,21.7,0.09,1.76,3.07,0.93,17.7,5.6,64,24.1,102.7,22.97,219.7,37.8,10370,0.51,,67.4,194.5,232.09,0.13,0.35,0.89
2,0.9,160,6.6,673,1.35,0.4,22.1,0.42,2.87,4.41,1.04,18.4,5.66,63.2,22.45,100,21.89,199.8,37.7,9500,0.35,,74.9,188.1,53.92,0.12,0.4,0.94
2,1.24,143,2.6,591,1.22,0.05,16.2,0.05,0.94,2.37,0.78,15.6,4.85,55.4,20.1,91.9,20.7,197,35.7,10020,0.34,,62.8,174,325.04,0.13,0.36,0.88
2,1.12,121.1,4.4,742,1.34,0.58,20.5,0.26,2.3,3.31,0.88,17.7,5.65,66.7,24.5,103.9,23.4,214,40.4,9990,0.41,,73.1,190,52.49,0.11,0.38,0.89
2,0.72,177.1,4.22,654.95,1.18,0.08,15,0.1,1.4,2.8,0.81,15.5,4.96,57,21.74,97.8,21.94,211.6,40.1,9530,0.49,,76.3,170,167.71,0.12,0.45,0.8
2,1.62,107.6,2.8,633.95,1.65,0.71,22,0.32,3.8,6.5,1.51,18.3,5.2,55.9,20.9,95.8,21.6,209.1,36,10730,0.61,,54.1,193,45.94,0.14,0.28,0.92
2,0.24,176,5.15,1028.95,2.13,0.26,18.25,0.16,2.3,4.17,1.16,24.9,8.34,93.2,33.4,146.8,32.4,294,48.6,10660,0.69,,129.1,353,90.33,0.11,0.37,1.2
2,1.07,146.7,4.99,697.23,1.47,0.56,22.1,0.74,5.2,4.38,1.3,18.3,5.69,63.5,23.16,103.4,22.76,211.2,37.9,10070,0.47,,76.5,205.4,34.33,0.15,0.37,0.97
